"MLS.Number","Status","Area","Street.Number","Street.Dir.Prefix","Street.Name","Street.Type","Street.Dir.Suffix","Unit.Number","X..Beds.Total","X..Baths.Full","X..Baths.Half","X..Living","X..Stories","X..Garage.Spaces","Year.Built","Sqft.Total","LP.SqFt","List.Price","S...SF","Sold.Lease.Price","Sold.Lease.Date","ADOM","CDOM","age","relisted","soldMonth","dayssale","latesale","listMonth","floor","Price.Diff","PriceSqrt","PriceListSqrt","agenumeric"
"116",1426463,"Sold","DT",311,"W","5th","ST","","907",1,1,1,1,"1",1,2002,1243,"378.12","470000","$370.07","460000","03-18-2015",63,63,14,0,"03",63,0,"01","9",-10000,370.072405470636,378.117457763475,14
"117",1419807,"Sold","DT",311,"W","5th","ST","","607",1,1,1,1,"1",1,2002,1243,"370.07","460000","$370.07","460000","04-24-2015",1,1,14,0,"04",1,1,"04","6",0,370.072405470636,370.072405470636,14
"118",9989720,"Sold","DT",710,"","Colorado","ST","","J10",2,2,0,1,"M",1,1940,1287,"369.08","475000","$359.36","462500","10-30-2015",63,63,76,0,"10",63,0,"08","1",-12500,359.362859362859,369.075369075369,76
"119",6547937,"Sold","DT",360,"","NUECES","ST","","3707",1,1,0,1,"1",1,2008,852,"566.9","483000","$554.34","472300","05-05-2015",21,82,8,61,"05",21,1,"04","3",-10700,554.342723004695,566.901408450704,8
"120",5363246,"Sold","DT",360,"","Nueces","ST","","3501",1,1,0,1,"1",1,2008,801,"636.7","510000","$593.01","475000","12-23-2015",74,74,8,0,"12",74,0,"10","3",-35000,593.008739076155,636.704119850187,8
"121",9512677,"Sold","DT",40,"N","Interstate 35","","","12D1",2,2,0,1,"1",2,1983,1533,"313.11","480000","$310.62","476182","02-25-2016",84,84,33,0,"02",84,0,"12","1",-3818,310.62100456621,313.111545988258,33
"122",8339789,"Sold","DT",710,"","Colorado","ST","","H6",2,2,0,1,"1",1,1940,1235,"396.76","490000","$388.83","480200","04-20-2015",2,2,76,0,"04",2,1,"04","6",-9800,388.825910931174,396.761133603239,76
"123",3813880,"Sold","DT",360,"","Nueces","ST","","3607",1,1,0,1,"1",0,2008,852,"580.87","494900","$569.25","485000","02-02-2016",48,48,8,0,"02",48,0,"12","3",-9900,569.24882629108,580.868544600939,8
"124",1419193,"Sold","DT",54,"","Rainey","ST","","1013",2,2,0,1,"1",2,2005,1164,"427.41","497500","$420.96","490000","03-31-2015",41,41,11,0,"03",41,0,"02","1",-7500,420.962199312715,427.405498281787,11
"125",8873646,"Sold","DT",603,"","Davis","ST","","1001",1,1,0,1,"1",1,2006,1005,"497.41","499900","$487.56","490000","09-18-2015",12,12,10,0,"09",12,1,"09","1",-9900,487.562189054726,497.412935323383,10
"126",3136942,"Sold","DT",603,"","Davis","ST","","1301",1,1,0,1,"1",1,2006,1005,"507.36","509900","$492.54","495000","10-30-2015",4,4,10,0,"10",4,1,"10","1",-14900,492.537313432836,507.363184079602,10
"127",3163174,"Sold","DT",360,"","Nueces","ST","","1104",2,2,0,1,"1",2,2008,998,"500.5","499500","$496.49","495500","02-12-2016",281,281,8,0,"02",281,0,"05","1",-4000,496.492985971944,500.501002004008,8
"128",9055934,"Sold","DT",1122,"","Colorado","ST","","1809",2,2,0,1,"1",1,1965,1014,"493","499900","$493.00","499900","10-16-2015",11,11,51,0,"10",11,1,"10","1",0,492.998027613412,492.998027613412,51
"129",9382091,"Sold","DT",54,"","Rainey","ST","","312",2,2,0,1,"1",2,2005,1164,"420.96","490000","$429.55","500000","03-30-2015",5,5,11,0,"03",5,1,"03","3",10000,429.553264604811,420.962199312715,11
"130",5748651,"Sold","DT",54,"","Rainey","ST","","PH09",2,2,0,1,"1",2,2005,1164,"428.69","499000","$429.55","500000","03-31-2015",8,8,11,0,"03",8,1,"03","0",1000,429.553264604811,428.694158075601,11
"131",7957084,"Sold","DT",710,"","Colorado","ST","","10I",1,2,0,2,"1",2,1940,1282,"404.84","519000","$390.02","500000","06-26-2015",8,8,76,0,"06",8,1,"06","1",-19000,390.015600624025,404.836193447738,76
"132",1424215,"Sold","DT",710,"","Colorado","ST","","H8",2,2,0,1,"1",1,1940,1235,"408.1","504000","$404.86","500000","11-03-2015",4,4,76,0,"11",4,1,"10","8",-4000,404.858299595142,408.097165991903,76
"133",9530331,"Sold","DT",360,"","Nueces","ST","","1404",2,2,0,1,"1",2,2008,998,"506.01","505000","$501.00","500000","11-23-2015",20,20,8,0,"11",20,1,"11","1",-5000,501.002004008016,506.012024048096,8
"134",4809328,"Sold","DT",507,"","Sabine","ST","","405",2,2,0,1,"1",2,2007,1456,"367.45","535000","$346.84","505000","03-24-2015",128,128,9,0,"03",128,0,"11","4",-30000,346.840659340659,367.445054945055,9
"135",3043973,"Sold","DT",411,"","Brazos","ST","","201",1,1,0,1,"1",1,1925,1368,"372.08","509000","$372.81","510000","01-15-2016",79,79,91,0,"01",79,0,"10","2",1000,372.80701754386,372.076023391813,91
"136",3881233,"Sold","DT",54,"","Rainey","","","306",2,1,1,1,"1",1,2005,1111,"480","533280","$468.05","520000","11-20-2015",13,13,11,0,"11",13,1,"11","3",-13280,468.046804680468,480,11
"137",8566133,"Sold","DT",210,"","Lavaca","","","1809",1,1,0,1,"1",1,2011,641,"818.25","524500","$818.25","524500","06-19-2015",10,10,5,0,"06",10,1,"06","1",0,818.252730109204,818.252730109204,5
"138",3868666,"Sold","DT",54,"","Rainey","ST","","318",2,2,0,1,"1",2,2005,1164,"463.83","539900","$458.76","534000","09-25-2015",21,21,11,0,"09",21,1,"09","3",-5900,458.762886597938,463.831615120275,11
"139",7493259,"Sold","DT",507,"","Sabine","ST","","507",2,2,0,1,"1",2,2007,1426,"385.69","550000","$374.47","534000","10-14-2015",64,64,9,0,"10",64,0,"08","5",-16000,374.474053295933,385.694249649369,9
"140",2178217,"Sold","DT",54,"","Rainey","ST","","301",2,2,0,1,"1",2,2005,1289,"426.69","550000","$418.93","540000","12-04-2015",37,143,11,106,"12",37,0,"10","3",-10000,418.929402637704,426.687354538402,11
"141",5305577,"Sold","DT",360,"","Nueces","ST","","1102",2,2,0,1,"1",2,2008,1059,"523.98","554900","$511.57","541750","12-09-2015",131,131,8,0,"12",131,0,"07","1",-13150,511.567516525024,523.984891406988,8
"142",8461789,"Sold","DT",1704,"","West","Ave","","303",2,2,1,1,"1",2,1986,1560,"368.59","575000","$350.64","547000","07-14-2015",3,3,30,0,"07",3,1,"07","3",-28000,350.641025641026,368.589743589744,30
"143",9332929,"Sold","DT",800,"","Brazos","ST","","1208",2,2,0,1,"1",1,1949,1324,"424.77","562400","$415.41","550000","07-06-2015",14,14,67,0,"07",14,1,"06","1",-12400,415.407854984894,424.773413897281,67
"144",3318477,"Sold","DT",360,"","Nueces","ST","","4104",2,2,0,1,"1",2,2008,998,"558.55","557430","$556.11","555000","05-21-2015",5,5,8,0,"05",5,1,"05","4",-2430,556.112224448898,558.547094188377,8
"145",9817555,"Sold","DT",360,"","Nueces","ST","","2302",2,2,0,1,"1",2,2008,1059,"533.52","565000","$525.26","556250","05-20-2015",46,46,8,0,"05",46,0,"04","2",-8750,525.259678942399,533.522190745987,8
"146",5333643,"Sold","DT",360,"","Nueces","ST","","2202",2,2,0,1,"1",2,2008,1059,"542.97","575000","$528.33","559500","08-14-2015",5,5,8,0,"08",5,1,"08","2",-15500,528.328611898017,542.965061378659,8
"147",9731947,"Sold","DT",360,"","Nueces","ST","","1502",2,2,0,1,"1",2,2008,1059,"533.52","565000","$531.16","562500","09-15-2015",34,34,8,0,"09",34,0,"08","1",-2500,531.161473087819,533.522190745987,8
"148",4959889,"Sold","DT",800,"W","5th","ST","","906",1,1,0,1,"1",1,2003,1161,"489.66","568500","$489.66","568500","11-17-2015",8,8,13,0,"11",8,1,"11","9",0,489.664082687339,489.664082687339,13
"149",6079555,"Sold","DT",360,"","Nueces","ST","","2602",2,2,0,1,"1",2,2008,1059,"542.97","575000","$537.30","569000","07-10-2015",9,9,8,0,"07",9,1,"07","2",-6000,537.299338999056,542.965061378659,8
"150",9859751,"Sold","DT",360,"","Nueces","ST","","2102",2,2,0,1,"1",2,2008,1059,"542.97","575000","$538.24","570000","11-20-2015",35,35,8,0,"11",35,0,"10","2",-5000,538.243626062323,542.965061378659,8
"151",6485338,"Sold","DT",360,"","Nueces","ST","","917",2,2,0,1,"1",2,2008,1115,"528.25","589000","$515.70","575000","03-18-2015",123,123,8,0,"03",123,0,"11","9",-14000,515.695067264574,528.251121076233,8
"152",5038710,"Sold","DT",507,"","Sabine","ST","","905",2,2,0,1,"1",2,2007,1456,"412.02","599900","$394.92","575000","04-20-2015",12,12,9,0,"04",12,1,"04","9",-24900,394.917582417582,412.019230769231,9
"153",2762662,"Sold","DT",360,"","Nueces","ST","","3702",1,1,1,1,"1",2,2008,1059,"555.15","587900","$542.97","575000","06-15-2015",10,10,8,0,"06",10,1,"06","3",-12900,542.965061378659,555.146364494806,8
"154",7370025,"Sold","DT",360,"","Nueces","ST","","1202",1,2,0,2,"1",2,2008,1059,"547.64","579950","$547.64","579950","05-28-2015",150,150,8,0,"05",150,0,"12","1",0,547.639282341832,547.639282341832,8
"155",1123060,"Sold","DT",360,"","Nueces","ST","","1116",2,2,0,1,"1",2,2008,1117,"525.96","587500","$521.49","582500","10-07-2015",10,10,8,0,"10",10,1,"09","1",-5000,521.48612354521,525.962399283796,8
"156",8576303,"Sold","DT",360,"","Nueces","ST","","1316",2,2,0,1,"1",2,2008,1117,"525.96","587500","$525.96","587500","07-28-2015",14,14,8,0,"07",14,1,"07","1",0,525.962399283796,525.962399283796,8
"157",4137863,"Sold","DT",360,"","Nueces","ST","","2502",2,2,0,1,"1",2,2008,1059,"561.85","595000","$557.13","590000","01-29-2016",177,177,8,0,"01",177,0,"08","2",-5000,557.129367327668,561.850802644004,8
"158",8090792,"Sold","DT",360,"","Nueces","ST","","1217",2,2,0,1,"1",2,2008,1115,"537.22","599000","$531.84","593000","06-12-2015",21,21,8,0,"06",21,1,"05","1",-6000,531.838565022422,537.219730941704,8
"159",4641882,"Sold","DT",210,"","Lavaca","ST","","3209",1,1,0,1,"1",1,2011,641,"928.24","595000","$928.24","595000","04-29-2015",3,3,5,0,"04",3,1,"04","3",0,928.237129485179,928.237129485179,5
"160",7283967,"Sold","DT",210,"","Lavaca","ST","","2612",1,1,0,1,"1",1,2011,642,"964.17","619000","$933.02","599000","04-27-2015",56,56,5,0,"04",56,0,"03","2",-20000,933.021806853583,964.17445482866,5
"161",5497956,"Sold","DT",210,"","Lavaca","ST","","3012",1,1,0,1,"1",1,2011,642,"965.73","620000","$942.37","605000","01-05-2016",39,39,5,0,"01",39,0,"11","3",-15000,942.367601246106,965.732087227414,5
"162",1876817,"Sold","DT",54,"","Rainey","ST","","801",2,2,0,1,"1",2,2006,1289,"504.19","649900","$470.33","606250","06-25-2015",34,34,10,0,"06",34,0,"05","8",-43650,470.325833979829,504.189294026377,10
"163",3550003,"Sold","DT",360,"","Nueces","ST","","1205",2,2,0,1,"1",2,2008,1225,"530.53","649900","$506.12","620000","07-24-2015",27,27,8,0,"07",27,1,"06","1",-29900,506.122448979592,530.530612244898,8
"164",2474673,"Sold","DT",360,"","Nueces","ST","","1011",2,2,0,1,"1",2,2008,1221,"523.75","639500","$520.07","635000","10-01-2015",117,117,8,0,"10",117,0,"06","1",-4500,520.06552006552,523.751023751024,8
"165",2706998,"Sold","DT",98,"","San Jacinto","BLVD","","1201",1,1,0,1,"1",1,2010,806,"825.06","665000","$794.04","640000","03-24-2015",4,4,6,0,"03",4,1,"03","1",-25000,794.044665012407,825.062034739454,6
"166",5532744,"Sold","DT",603,"","Davis","ST","","1911",2,2,0,1,"1",2,2006,1219,"553.73","675000","$533.22","650000","10-30-2015",71,71,10,0,"10",71,0,"08","1",-25000,533.223954060706,553.732567678425,10
"167",4504270,"Sold","DT",40,"N","INTERSTATE 35","","","6A3",2,2,0,1,"1",2,1983,1743,"401.03","699000","$380.09","662500","02-01-2016",18,18,33,0,"02",18,1,"01","6",-36500,380.091795754446,401.032702237522,33
"168",8466834,"Sold","DT",360,"","Nueces","ST","","4304",2,2,0,1,"1",2,2008,998,"700.4","699000","$666.33","665000","06-25-2015",77,77,8,0,"06",77,0,"04","4",-34000,666.332665330661,700.400801603206,8
"169",1914464,"Sold","DT",360,"","Nueces","ST","","1709",2,2,0,1,"1",2,2008,1244,"553.86","689000","$534.57","665000","06-08-2015",7,7,8,0,"06",7,1,"06","1",-24000,534.565916398714,553.858520900322,8
"170",7149923,"Sold","DT",360,"","Nueces","ST","","1809",2,2,0,1,"1",2,2008,1244,"561.9","699000","$535.93","666700","08-21-2015",4,4,8,0,"08",4,1,"08","1",-32300,535.932475884244,561.897106109325,8
"171",1695268,"Sold","DT",54,"","Rainey","ST","","706",2,2,0,1,"1",2,2005,1341,"512.68","687500","$499.63","670000","08-14-2015",168,168,11,0,"08",168,0,"02","7",-17500,499.627143922446,512.677106636838,11
"172",8229240,"Sold","DT",1801,"","Lavaca","ST","","6H6J",2,3,0,1,"1",0,1964,2257,"307.93","695000","$303.50","685000","01-08-2016",196,196,52,0,"01",196,0,"06","6",-10000,303.500221533008,307.930881701373,52
"173",3175194,"Sold","DT",54,"","Rainey","ST","","302",3,2,0,1,"1",2,2005,1557,"449.26","699500","$443.16","690000","08-24-2015",149,149,11,0,"08",149,0,"03","3",-9500,443.159922928709,449.261400128452,11
"174",8465063,"Sold","DT",360,"","Nueces","ST","","3409",2,2,0,1,"1",2,2008,1244,"586.01","729000","$562.70","699999","10-05-2015",98,98,8,0,"10",98,0,"06","3",-29001,562.700160771704,586.012861736334,8
"175",3329066,"Sold","DT",98,"","San Jacinto","BLVD","","602",1,1,0,1,"1",1,2010,1169,"683.49","799000","$633.02","740000","05-15-2015",76,76,6,0,"05",76,0,"02","6",-59000,633.019674935843,683.490162532079,6
"176",7655844,"Sold","DT",360,"","Nueces","ST","","2509",2,2,0,1,"1",2,2008,1244,"598.79","744900","$594.86","740000","09-16-2015",45,45,8,0,"09",45,0,"08","2",-4900,594.855305466238,598.794212218649,8
"177",5863619,"Sold","DT",360,"","Nueces","ST","","3509",2,2,0,1,"1",2,2008,1244,"602.81","749900","$597.27","743000","12-03-2015",25,25,8,0,"12",25,1,"11","3",-6900,597.266881028939,602.813504823151,8
"178",1058701,"Sold","DT",98,"","San Jacinto","BLVD","","2103",1,1,0,1,"1",2,2010,1060,"787.64","834900","$701.89","744000","10-28-2015",64,326,6,262,"10",64,0,"08","2",-90900,701.88679245283,787.641509433962,6
"179",4193759,"Sold","DT",800,"W","5th","ST","","905",2,2,0,1,"1",2,2003,1482,"506.07","750000","$506.07","750000","07-23-2015",3,3,13,0,"07",3,1,"07","9",0,506.072874493927,506.072874493927,13
"180",3285969,"Sold","DT",200,"","Congress","Ave","","23A",1,1,1,1,"1",1,2008,1225,"673.47","825000","$673.47","825000","05-15-2015",171,171,8,0,"05",171,0,"11","2",0,673.469387755102,673.469387755102,8
"181",5353021,"Sold","DT",210,"","Lavaca","ST","","2203",1,1,0,1,"1",1,2011,1149,"778.94","895000","$722.37","830000","11-10-2015",79,79,5,0,"11",79,0,"08","2",-65000,722.36727589208,778.938207136641,5
"182",9521684,"Sold","DT",555,"E","5th","ST","","2703",2,2,0,1,"1",2,2004,1587,"534.97","849000","$531.82","844000","10-09-2015",219,219,12,0,"10",219,0,"03","2",-5000,531.82104599874,534.971644612476,12
"183",6809404,"Sold","DT",360,"","Nueces","ST","","1612",2,2,0,1,"1",2,2008,1516,"564.64","856000","$560.03","849000","04-17-2015",24,24,8,0,"04",24,1,"03","1",-7000,560.026385224274,564.643799472296,8
"184",4328759,"Sold","DT",98,"","San Jacinto","BLVD","","2603",1,1,0,1,"1",2,2010,1060,"800.94","849000","$800.94","849000","12-03-2015",130,130,6,0,"12",130,0,"07","2",0,800.943396226415,800.943396226415,6
"185",8166259,"Sold","DT",200,"","CONGRESS","Ave","","14B",1,1,1,1,"1",1,2008,1295,"655.6","849000","$656.37","850000","04-13-2015",114,114,8,0,"04",114,0,"12","1",1000,656.370656370656,655.598455598456,8
"186",4054854,"Sold","DT",98,"","San Jacinto","BLVD","","706",2,2,0,1,"1",2,2010,1271,"708.03","899900","$668.76","850000","08-31-2015",205,205,6,0,"08",205,0,"02","7",-49900,668.764752163651,708.025177025964,6
"187",9699120,"Sold","DT",210,"","LAVACA","ST","","2304",1,2,0,2,"1",1,2011,1169,"769.03","899000","$727.12","850000","02-17-2016",129,129,5,0,"02",129,0,"10","2",-49000,727.117194183062,769.033361847733,5
"188",1149613,"Sold","DT",200,"","Congress","Ave","","11B",1,1,1,1,"1",1,2008,1295,"675.68","875000","$660.23","855000","06-15-2015",45,45,8,0,"06",45,0,"05","1",-20000,660.23166023166,675.675675675676,8
"189",9253052,"Sold","DT",555,"E","5th","ST","","2803",2,2,0,1,"1",2,2004,1587,"547.57","869000","$541.90","860000","06-01-2015",15,15,12,0,"06",15,1,"05","2",-9000,541.902961562697,547.574039067423,12
"190",1726206,"Sold","DT",200,"","Congress","Ave","","17B",1,1,1,1,"1",1,2008,1295,"683.4","885000","$671.81","870000","06-26-2015",16,16,8,0,"06",16,1,"06","1",-15000,671.814671814672,683.397683397683,8
"191",1813240,"Sold","DT",210,"","Lavaca","ST","","1811",2,2,1,1,"1",2,2011,1423,"667.6","950000","$657.06","935000","05-21-2015",52,52,5,0,"05",52,0,"03","1",-15000,657.062543921293,667.603654251581,5
"192",9557305,"Sold","DT",200,"","CONGRESS","Ave","","15C",2,2,0,2,"1",2,2008,1464,"682.99","999900","$665.98","975000","05-29-2015",181,181,8,0,"05",181,0,"11","1",-24900,665.983606557377,682.991803278689,8
"193",6636947,"Sold","DT",555,"E","5th","ST","","2901",2,2,1,1,"1",2,2004,1755,"566.95","995000","$561.25","985000","12-30-2015",10,10,12,0,"12",10,1,"12","2",-10000,561.253561253561,566.951566951567,12
"194",5904113,"Sold","DT",411,"","Brazos","ST","","220",2,2,0,3,"1",2,1925,2697,"387.47","1045000","$374.49","1010000","01-11-2016",29,142,91,113,"01",29,1,"12","2",-35000,374.490174267705,387.467556544308,91
"195",4585840,"Sold","DT",54,"","Rainey","ST","","902",3,4,0,3,"1",4,2005,2746,"370.72","1018000","$378.73","1040000","12-16-2015",19,66,11,47,"12",19,1,"11","9",22000,378.732702112163,370.721048798252,11
"196",1856765,"Sold","DT",54,"","Rainey","ST","","PH02",2,2,1,2,"1",2,2005,1927,"672.03","1295000","$551.19","1062150","06-10-2015",112,112,11,0,"06",112,0,"02","0",-232850,551.193565127141,672.029060716139,11
"197",2589004,"Sold","DT",555,"E","5th","ST","","2829",2,2,1,1,"1",3,2004,2099,"571.7","1200000","$524.06","1100000","11-09-2015",9,9,12,0,"11",9,1,"10","2",-1e+05,524.059075750357,571.700809909481,12
"198",4120924,"Sold","DT",98,"","San Jacinto","","","1504",2,2,1,1,"1",2,2010,1378,"834.54","1150000","$823.66","1135000","07-30-2015",5,5,6,0,"07",5,1,"07","1",-15000,823.657474600871,834.542815674891,6
"199",8068344,"Sold","DT",54,"","Rainey","ST","","PH01",3,3,0,1,"1",2,2005,2120,"566.04","1200000","$537.74","1140000","12-18-2015",11,11,11,0,"12",11,1,"12","0",-60000,537.735849056604,566.037735849057,11
"200",3602694,"Sold","DT",98,"","San Jacinto","BLVD","","709",2,2,1,1,"1",2,2010,1815,"713.5","1295000","$633.61","1150000","04-02-2015",19,19,6,0,"04",19,1,"03","7",-145000,633.608815426997,713.498622589532,6
"201",6460641,"Sold","DT",98,"","San Jacinto","BLVD","","708",2,2,1,2,"1",2,2010,1672,"774.52","1295000","$747.61","1250000","05-19-2015",116,223,6,107,"05",116,0,"01","7",-45000,747.607655502392,774.521531100478,6
"202",9168452,"Sold","DT",98,"","San Jacinto","BLVD","","608",2,2,1,2,"1",2,2010,1672,"774.52","1295000","$747.61","1250000","09-29-2015",135,135,6,0,"09",135,0,"05","6",-45000,747.607655502392,774.521531100478,6
"203",2931084,"Sold","DT",200,"","Congress","Ave","","16D",2,2,0,1,"1",2,2008,1609,"838.41","1349000","$807.33","1299000","05-07-2015",8,8,8,0,"05",8,1,"04","1",-50000,807.33374766936,838.408949658173,8
"204",5041041,"Sold","DT",98,"","San Jacinto","BLVD","","709",2,2,1,1,"1",2,2010,1815,"768.6","1395000","$757.58","1375000","02-04-2016",115,115,6,0,"02",115,0,"10","7",-20000,757.575757575758,768.595041322314,6
"205",6708613,"Sold","DT",200,"","Congress","Ave","","20E",2,2,0,1,"1",2,2008,1918,"779.46","1495000","$729.67","1399500","12-04-2015",141,141,8,0,"12",141,0,"07","2",-95500,729.666319082378,779.457768508863,8
"206",8718303,"Sold","DT",200,"","Congress","Ave","","14F",2,2,1,2,"1",2,2008,1926,"752.34","1449000","$726.90","1400000","07-22-2015",26,26,8,0,"07",26,1,"06","1",-49000,726.895119418484,752.336448598131,8
"207",7969153,"Sold","DT",210,"","Lavaca","ST","","2312",2,2,1,1,"1",0,2011,1587,"945.18","1500000","$888.47","1410000","11-19-2015",100,100,5,0,"11",100,0,"08","2",-90000,888.468809073724,945.179584120983,5
"208",6611367,"Sold","DT",360,"","Nueces","ST","","3002",3,2,1,1,"1",4,2008,2057,"726.79","1495000","$700.05","1440000","04-14-2015",125,125,8,0,"04",125,0,"12","3",-55000,700.048614487117,726.786582401556,8
"209",7920726,"Sold","DT",200,"","CONGRESS","Ave","","30E",2,2,0,1,"1",2,2008,1918,"883.73","1695000","$756.00","1450000","04-30-2015",465,465,8,0,"04",465,0,"01","3",-245000,755.99582898853,883.733055265902,8
"210",1136176,"Sold","DT",200,"","CONGRESS","Ave","","13F",2,2,1,1,"1",2,2008,1926,"765.84","1475000","$759.35","1462500","08-10-2015",26,26,8,0,"08",26,1,"07","1",-12500,759.345794392523,765.835929387331,8
"211",6611462,"Sold","DT",200,"","Congress","Ave","","16F",2,2,1,1,"1",2,2008,1926,"804.26","1549000","$760.64","1465000","06-29-2015",29,29,8,0,"06",29,1,"05","1",-84000,760.643821391485,804.257528556594,8
"212",7676720,"Sold","DT",200,"","Congress","Ave","","28SW",2,2,1,1,"1",2,2008,1785,"938.38","1675000","$861.34","1537500","10-01-2015",77,77,8,0,"10",77,0,"07","2",-137500,861.344537815126,938.375350140056,8
"213",1195169,"Sold","DT",200,"","CONGRESS","Ave","","29G",2,2,1,1,"1",2,2008,1920,"882.81","1695000","$807.29","1550000","05-29-2015",0,334,8,334,"05",0,1,"05","2",-145000,807.291666666667,882.8125,8
"214",8806973,"Sold","DT",98,"","San Jacinto","BLVD","","1406",2,2,1,1,"1",2,2010,1853,"890.45","1650000","$863.46","1600000","03-27-2015",42,42,6,0,"03",42,0,"02","1",-50000,863.464651915812,890.447922288181,6
"215",1312003,"Sold","DT",200,"","CONGRESS","Ave","","29E",2,2,0,2,"1",2,2008,1918,"860.27","1650000","$853.75","1637500","06-12-2015",87,87,8,0,"06",87,0,"03","2",-12500,853.753910323253,860.271115745568,8
"216",6212407,"Sold","DT",98,"","San Jacinto","BLVD","","2101",2,2,1,1,"1",2,2010,1516,"1184.04","1795000","$1,088.39","1650000","10-21-2015",7,7,6,0,"10",7,1,"10","2",-145000,1088.39050131926,1184.03693931398,6
"217",8482611,"Sold","DT",210,"","Lavaca","ST","","3101",2,2,1,1,"1",2,2011,1953,"947.26","1850000","$883.26","1725000","08-04-2015",13,13,5,0,"08",13,1,"07","3",-125000,883.256528417819,947.26062467998,5
"218",4376298,"Sold","DT",200,"","CONGRESS","Ave","","43ST",2,2,0,1,"1",3,2014,1969,"1015.24","1999000","$939.56","1850000","12-29-2015",77,77,2,0,"12",77,0,"10","4",-149000,939.563230066023,1015.23616048756,2
"219",9506307,"Sold","DT",210,"","Lavaca","ST","","2401",2,2,1,1,"1",2,2011,1953,"1021.51","1995000","$998.46","1950000","11-16-2015",10,10,5,0,"11",10,1,"11","2",-45000,998.463901689708,1021.50537634409,5
"220",5706113,"Sold","DT",210,"","Lavaca","ST","","2503",3,3,0,1,"1",2,2011,2162,"971.32","2100000","$913.51","1975000","03-11-2016",75,75,5,0,"03",75,0,"12","2",-125000,913.506012950971,971.322849213691,5
"221",7319159,"Sold","DT",98,"","San Jacinto","BLVD","","1103",2,2,1,3,"1",3,2010,2707,"858.88","2325000","$831.18","2250000","01-15-2016",107,107,6,0,"01",107,0,"09","1",-75000,831.17842630218,858.884373845586,6
"222",6818211,"Sold","DT",200,"","Congress","Ave","","38SE",2,2,1,1,"1",3,2008,2082,"1176.75","2450000","$1,119.12","2330000","10-06-2015",11,11,8,0,"10",11,1,"09","3",-120000,1119.11623439001,1176.75312199808,8
"223",2754611,"Sold","DT",98,"","San Jacinto","BLVD","","2102",2,2,1,3,"1",3,2010,2692,"995.54","2680000","$900.82","2425000","09-30-2015",105,105,6,0,"09",105,0,"06","2",-255000,900.817236255572,995.54234769688,6
"224",2213425,"Sold","DT",200,"","CONGRESS","Ave","","32NW",2,2,1,1,"1",3,2014,2822,"955","2695000","$885.90","2500000","02-25-2016",41,41,2,0,"02",41,0,"01","3",-195000,885.896527285613,954.996456413891,2
"225",4267705,"Sold","DT",210,"","LAVACA","ST","","2105",3,3,1,1,"1",2,2011,3073,"959.97","2950000","$927.43","2850000","10-29-2015",39,39,5,0,"10",39,0,"09","2",-1e+05,927.432476407419,959.97396680768,5
"226",7183659,"Sold","DT",98,"","San Jacinto","BLVD","","2604",3,3,1,3,"1",3,2010,3452,"867.61","2995000","$867.61","2995000","12-02-2015",382,382,6,0,"12",382,0,"11","2",0,867.612977983778,867.612977983778,6
"227",4350080,"Sold","DT",210,"","Lavaca","","","2405",3,2,1,1,"1",2,2011,3498,"1000.29","3499000","$886.22","3100000","12-23-2015",44,44,5,0,"12",44,0,"11","2",-399000,886.220697541452,1000.28587764437,5
"228",5073618,"Sold","DT",200,"","Congress","Ave","","34M",3,3,1,2,"1",3,2008,3174,"1023.94","3250000","$1,023.94","3250000","10-21-2015",219,219,8,0,"10",219,0,"03","3",0,1023.9445494644,1023.9445494644,8
"229",1522652,"Sold","DT",200,"","CONGRESS","Ave","","19DE",3,3,0,2,"1",3,2008,3475,"1005.76","3495000","$955.40","3320000","04-20-2015",47,124,8,77,"04",47,0,"03","1",-175000,955.395683453237,1005.75539568345,8
"230",9746054,"Sold","DT",210,"","Lavaca","","","3105",3,2,1,1,"1",3,2011,3498,"1100.63","3850000","$1,029.16","3600000","01-27-2016",45,76,5,31,"01",45,0,"12","3",-250000,1029.15951972556,1100.62893081761,5
