"","MLS.Number","Status","Area","Street.Number","Street.Dir.Prefix","Street.Name","Street.Type","Street.Dir.Suffix","Unit.Number","X..Beds.Total","X..Baths.Full","X..Baths.Half","X..Living","X..Stories","X..Garage.Spaces","Year.Built","Sqft.Total","LP.SqFt","List.Price","S...SF","Sold.Lease.Price","Sold.Lease.Date","ADOM","CDOM","age","relisted","soldMonth","listMonth","floor","Price.Diff","condoSize"
"1",5591862,"Sold","DT",1800,"","Lavaca","ST","","A306",1,1,0,1,"1",1,1966,608,"245.89","149500","$234.38","142500","12-14-2015",6,6,50,0,"12","12","3",-7000,"small"
"2",8565582,"Sold","DT",1800,"","Lavaca","ST","","A412",1,1,0,1,"1",1,1966,594,"222.22","132000","$240.74","143000","05-15-2015",12,12,50,0,"05","05","4",11000,"small"
"3",4025784,"Sold","DT",1800,"","Lavaca","","","212",1,1,0,1,"1",1,1966,594,"244.11","144999","$244.11","145000","09-02-2015",14,14,50,0,"09","08","2",1,"small"
"4",6765009,"Sold","DT",1800,"","Lavaca","ST","","A614",1,1,0,1,"1",1,1966,632,"237.33","149995","$237.33","149995","07-10-2015",1,1,50,0,"07","07","6",0,"small"
"5",6018863,"Sold","DT",1212,"","Guadalupe","ST","","203",1,1,0,1,"1",1,1973,422,"391","165000","$386.26","163000","01-28-2016",7,7,43,0,"01","01","2",-2000,"small"
"6",5563577,"Sold","DT",1700,"","Nueces","ST","","106",1,1,0,1,"3",1,1974,488,"348.16","169900","$336.07","164000","06-05-2015",10,10,42,0,"06","05","1",-5900,"small"
"7",6903103,"Sold","DT",1801,"","Lavaca","ST","","9H",0,1,0,1,"1",1,1964,345,"478.26","165000","$478.26","165000","01-05-2016",4,4,52,0,"01","01","9",0,"small"
"8",9179485,"Sold","DT",1801,"","Lavaca","ST","","11B",1,1,0,1,"1",1,1964,460,"388.04","178500","$385.87","177500","06-12-2015",15,15,52,0,"06","05","1",-1000,"small"
"9",8612611,"Sold","DT",1800,"","Lavaca","ST","","A507",2,2,0,1,"1",1,1966,880,"255.68","225000","$253.98","223500","01-15-2016",7,7,50,0,"01","01","5",-1500,"small"
"10",4782827,"Sold","DT",800,"","Brazos","ST","","1210",1,1,0,1,"1",1,1949,623,"416.53","259500","$381.22","237500","11-13-2015",124,124,67,0,"11","07","1",-22000,"small"
"11",6201812,"Sold","DT",800,"","Brazos","ST","","1011",1,1,0,1,"1",1,1949,622,"401.93","249999","$398.71","248000","01-11-2016",54,54,67,0,"01","11","1",-1999,"small"
"12",5097290,"Sold","DT",603,"","Davis","ST","","710",1,1,0,1,"1",0,2006,502,"498.01","250000","$498.01","250000","09-24-2015",7,7,10,0,"09","09","7",0,"small"
"13",7190992,"Sold","DT",800,"","Brazos","ST","","1211",1,1,0,1,"1",1,1949,622,"409.81","254900","$401.93","250000","01-25-2016",20,20,67,0,"01","01","1",-4900,"small"
"14",3316380,"Sold","DT",710,"","Colorado","ST","","F5",1,1,0,1,"1",1,1940,637,"431.71","275000","$408.16","260000","06-10-2015",25,25,76,0,"06","05","5",-15000,"small"
"15",5763823,"Sold","DT",710,"","Colorado","ST","","E6",0,1,0,1,"1",1,1940,637,"439.56","280000","$416.01","265000","04-30-2015",22,22,76,0,"04","04","6",-15000,"small"
"16",2601555,"Sold","DT",1212,"","Guadalupe","ST","","505",2,2,0,1,"1",2,1973,954,"302.94","289000","$283.02","270000","08-27-2015",90,90,43,0,"08","05","5",-19000,"small"
"17",4792662,"Sold","DT",301,"E","4th","ST","","304",1,1,0,1,"1",0,1983,494,"524.29","259000","$554.66","274000","06-10-2015",9,9,33,0,"06","06","3",15000,"small"
"18",8585498,"Sold","DT",80,"","Red River","ST","","202",1,1,0,1,"1",1,1982,675,"422.22","285000","$413.33","279000","03-31-2015",19,19,34,0,"03","03","2",-6000,"small"
"19",2085930,"Sold","DT",603,"","Davis","ST","","705",1,1,0,1,"1",1,2006,674,"444.96","299900","$419.14","282500","10-02-2015",61,61,10,0,"10","08","7",-17400,"small"
"20",4088286,"Sold","DT",904,"","West","Ave","","206",1,1,0,1,"1",1,2010,659,"447.65","295000","$434.22","286150","05-19-2015",1,1,6,0,"05","05","2",-8850,"small"
"21",7026003,"Sold","DT",603,"","Davis","ST","","706",1,1,0,1,"1",1,2006,616,"470.62","289900","$470.62","289900","06-02-2015",8,8,10,0,"06","05","7",0,"small"
"22",6624721,"Sold","DT",507,"","Sabine","ST","","303",1,1,0,1,"1",0,2007,693,"430.74","298500","$418.47","290000","09-09-2015",84,84,9,0,"09","06","3",-8500,"small"
"23",2244030,"Sold","DT",507,"","Sabine","ST","","503",1,1,0,1,"1",0,2007,693,"431.31","298900","$419.91","291000","08-07-2015",94,94,9,0,"08","05","5",-7900,"small"
"24",9210584,"Sold","DT",54,"","Rainey","ST","","411",1,1,0,1,"1",1,2005,756,"396.69","299900","$390.21","295000","03-31-2015",172,172,11,0,"03","10","4",-4900,"small"
"25",4505208,"Sold","DT",710,"","Colorado","ST","","G10",0,1,0,1,"1",1,1940,638,"482.76","308000","$467.08","298000","06-15-2015",12,12,76,0,"06","06","1",-10000,"small"
"26",3855972,"Sold","DT",800,"","Brazos","ST","","804",1,1,0,1,"1",1,1949,723,"435.68","315000","$414.94","300000","09-28-2015",24,24,67,0,"09","09","8",-15000,"small"
"27",4631515,"Sold","DT",1212,"","Guadalupe","ST","","708",1,2,0,1,"1",1,1973,826,"381.36","315000","$366.53","302750","12-31-2015",58,58,43,0,"12","11","7",-12250,"small"
"28",4170086,"Sold","DT",800,"","Brazos","ST","","1204",1,1,0,1,"1",1,1949,723,"435.55","314900","$420.47","304000","04-28-2015",16,16,67,0,"04","04","1",-10900,"small"
"29",8750943,"Sold","DT",54,"","Rainey","ST","","615",1,1,0,1,"1",1,2005,756,"416.67","315000","$403.44","305000","04-01-2015",2,2,11,0,"04","03","6",-10000,"small"
"30",3795321,"Sold","DT",1212,"","Guadalupe","ST","","702",3,2,0,1,"M",2,1973,966,"330.75","319500","$318.84","308000","08-08-2015",10,10,43,0,"08","07","7",-11500,"small"
"31",8128091,"Sold","DT",505,"W","7th","ST","","306",1,1,0,1,"1",1,1964,709,"449.93","319000","$435.83","309000","09-01-2015",5,5,52,0,"09","08","3",-10000,"small"
"32",4401716,"Sold","DT",301,"E","4th","ST","","354",1,1,0,2,"1",1,1983,619,"484.65","300000","$500.81","310001","07-23-2015",5,5,33,0,"07","07","3",10001,"small"
"33",8184410,"Sold","DT",410,"E","5th","ST","","203",1,1,0,1,"1",1,1999,782,"421.87","329900","$402.81","315000","06-30-2015",58,58,17,0,"06","05","2",-14900,"small"
"34",3377038,"Sold","DT",507,"","Sabine","ST","","502",1,1,0,1,"1",1,2007,753,"444.89","335000","$424.97","320000","12-21-2015",7,7,9,0,"12","12","5",-15000,"small"
"35",4403285,"Sold","DT",603,"","Davis","ST","","1305",1,1,0,1,"1",1,2008,714,"455.18","325000","$448.18","320000","02-29-2016",7,7,8,0,"02","02","1",-5000,"small"
"36",8394837,"Sold","DT",54,"","Rainey","ST","","1115",1,1,0,1,"M",1,2005,756,"429.89","325000","$429.89","325000","04-23-2015",3,3,11,0,"04","04","1",0,"small"
"37",5051192,"Sold","DT",301,"E","4th","ST","","337",1,1,0,1,"1",1,1983,600,"549.83","329900","$549.83","329900","11-20-2015",3,3,33,0,"11","11","3",0,"small"
"38",2197317,"Sold","DT",904,"","West","Ave","","114",1,1,0,1,"1",1,2012,725,"455.17","330000","$455.17","330000","03-20-2015",0,0,4,0,"03","03","1",0,"small"
"39",2572662,"Sold","DT",507,"","Sabine","ST","","306",1,1,0,1,"1",1,2007,877,"387.69","340000","$376.28","330000","07-01-2015",66,66,9,0,"07","04","3",-10000,"small"
"40",4321282,"Sold","DT",54,"","Rainey","ST","","1015",1,1,0,1,"1",1,2005,756,"445.77","337000","$436.51","330000","12-29-2015",94,94,11,0,"12","09","1",-7000,"small"
"41",3900089,"Sold","DT",800,"","Brazos","ST","","903",1,1,0,1,"1",1,1949,832,"396.63","330000","$396.63","330000","12-18-2015",24,24,67,0,"12","11","9",0,"small"
"42",8780523,"Sold","DT",507,"","Sabine","ST","","1006",1,1,0,1,"1",1,2007,877,"387.69","340000","$379.13","332500","06-25-2015",29,29,9,0,"06","05","1",-7500,"small"
"43",2322085,"Sold","DT",360,"","Nueces","ST","","1018",1,1,0,1,"1",1,2008,760,"460.39","349900","$440.79","335000","04-15-2015",125,125,8,0,"04","12","1",-14900,"small"
"44",8522059,"Sold","DT",710,"","Colorado","ST","","C9",1,1,0,1,"1",1,1940,711,"471.17","335000","$471.17","335000","09-28-2015",10,10,76,0,"09","09","9",0,"small"
"45",4799745,"Sold","DT",54,"","Rainey","ST","","510",1,1,0,1,"1",1,2005,756,"442.99","334900","$443.12","335000","01-29-2016",28,28,11,0,"01","01","5",100,"small"
"46",4560253,"Sold","DT",201,"E","4th","ST","N","229",1,1,0,1,"1",0,1983,665,"496.24","330000","$506.77","337000","09-02-2015",17,17,33,0,"09","08","2",7000,"small"
"47",7615010,"Sold","DT",54,"","Rainey","ST","","317",1,1,0,1,"1",1,2005,865,"404.51","349900","$390.75","338000","08-17-2015",43,43,11,0,"08","07","3",-11900,"small"
"48",2767055,"Sold","DT",54,"","Rainey","ST","","717",1,1,0,1,"1",1,2005,865,"398.27","344500","$392.95","339900","01-29-2016",188,188,11,0,"01","07","7",-4600,"small"
"49",4773214,"Sold","DT",1801,"","Lavaca","ST","","4C",2,2,0,1,"1",1,1964,1256,"266.72","335000","$273.69","343750","12-21-2015",8,8,52,0,"12","12","4",8750,"medium"
"50",1599510,"Sold","DT",54,"","Rainey","ST","","1011",1,1,0,1,"1",1,2005,756,"461.64","349000","$456.35","345000","05-14-2015",2,2,11,0,"05","05","1",-4000,"small"
"51",4888027,"Sold","DT",1212,"","Guadalupe","ST","","905",2,2,0,1,"1",2,1973,956,"365.06","349000","$360.88","345000","01-11-2016",94,94,43,0,"01","10","9",-4000,"small"
"52",2764003,"Sold","DT",505,"W","7th","ST","","202",2,1,1,1,"1",1,1964,1011,"345.2","349000","$343.22","347000","06-22-2015",97,97,52,0,"06","03","2",-2000,"small"
"53",3927296,"Sold","DT",1801,"","Lavaca","ST","","5D",1,1,0,1,"1",1,1964,1189,"293.52","349000","$293.52","349000","07-08-2015",96,96,52,0,"07","04","5",0,"medium"
"54",3153154,"Sold","DT",603,"","Davis","ST","","1407",1,1,0,1,"1",1,2006,879,"398.18","350000","$398.18","350000","04-08-2015",2,2,10,0,"04","04","1",0,"small"
"55",1149818,"Sold","DT",1212,"","Guadalupe","ST","","902",2,2,0,1,"1",2,1973,956,"376.46","359900","$368.20","352000","05-07-2015",47,47,43,0,"05","03","9",-7900,"small"
"56",9350173,"Sold","DT",603,"","Davis","ST","","907",1,1,0,2,"1",1,2006,879,"403.87","355000","$401.59","353000","12-11-2015",48,48,10,0,"12","10","9",-2000,"small"
"57",8168802,"Sold","DT",710,"","Colorado","ST","","I2",1,1,0,1,"1",1,1940,1191,"299.75","357000","$298.07","355000","08-28-2015",67,293,76,226,"08","06","2",-2000,"medium"
"58",2497271,"Sold","DT",555,"E","5th","ST","","821",1,1,0,1,"1",1,2004,855,"426.9","365000","$415.20","355000","12-28-2015",116,116,12,0,"12","09","8",-10000,"small"
"59",7242929,"Sold","DT",360,"","Nueces","ST","","1506",1,1,0,1,"1",1,2008,753,"491.37","369999","$472.78","356000","01-27-2016",138,138,8,0,"01","09","1",-13999,"small"
"60",1574941,"Sold","DT",1801,"","Lavaca","ST","","3L",2,2,0,1,"1",1,1964,1363,"261.56","356500","$261.56","356500","10-27-2015",2,2,52,0,"10","10","3",0,"medium"
"61",2556202,"Sold","DT",1801,"","Lavaca","ST","","3F",2,2,0,1,"1",1,1964,1294,"277.43","359000","$277.43","359000","08-20-2015",26,26,52,0,"08","07","3",0,"medium"
"62",7312220,"Sold","DT",360,"","Nueces","ST","","1310",1,1,0,1,"1",1,2008,715,"510.49","365000","$503.50","360000","12-17-2015",26,26,8,0,"12","11","1",-5000,"small"
"63",5777878,"Sold","DT",800,"","Brazos","ST","","809",1,1,0,1,"1",1,1949,884,"406.11","359000","$409.50","362000","08-21-2015",7,7,67,0,"08","08","8",3000,"small"
"64",2345240,"Sold","DT",603,"","Davis","ST","","1107",1,1,0,1,"1",1,2006,879,"420.93","370000","$415.24","365000","07-14-2015",16,16,10,0,"07","06","1",-5000,"small"
"65",5650725,"Sold","DT",40,"N","Interstate 35","","","7c3",2,2,0,1,"1",2,1983,1288,"301.24","388000","$287.27","370000","02-09-2016",18,18,33,0,"02","01","7",-18000,"medium"
"66",8459208,"Sold","DT",603,"","Davis","ST","","2008",1,1,0,1,"1",1,2006,923,"417.12","385000","$403.03","372000","06-20-2015",26,26,10,0,"06","05","2",-13000,"small"
"67",1796852,"Sold","DT",360,"","Nueces","ST","","1101",1,1,0,1,"1",1,2008,801,"474.41","380000","$468.16","375000","10-22-2015",134,134,8,0,"10","06","1",-5000,"small"
"68",2252432,"Sold","DT",555,"E","5th","ST","","725",1,1,0,1,"1",1,2004,817,"459","375000","$459.00","375000","09-04-2015",21,21,12,0,"09","08","7",0,"small"
"69",7922391,"Sold","DT",360,"","Nueces","ST","","1409",1,1,0,1,"1",1,2008,744,"510.62","379900","$506.05","376500","07-10-2015",85,172,8,87,"07","04","1",-3400,"small"
"70",6108112,"Sold","DT",360,"","Nueces","ST","","1015",1,1,0,1,"1",1,2008,785,"483.95","379900","$480.76","377400","08-27-2015",171,171,8,0,"08","03","1",-2500,"small"
"71",2954797,"Sold","DT",1801,"","Lavaca","ST","","9A",2,2,0,1,"1",0,1964,1301,"295.93","385000","$291.62","379400","07-17-2015",6,6,52,0,"07","07","9",-5600,"medium"
"72",6756840,"Sold","DT",360,"","Nueces","ST","","1314",1,1,0,1,"1",1,2008,832,"492.67","409900","$459.13","382000","01-15-2016",7,7,8,0,"01","01","1",-27900,"small"
"73",8450601,"Sold","DT",360,"","Nueces","ST","","2206",1,1,0,1,"1",1,2008,748,"534.63","399900","$520.05","389000","07-17-2015",52,52,8,0,"07","05","2",-10900,"small"
"74",9135983,"Sold","DT",360,"","Nueces","ST","","3706",1,1,0,1,"1",1,2008,753,"530.54","399500","$517.26","389500","10-14-2015",42,42,8,0,"10","09","3",-10000,"small"
"75",7609384,"Sold","DT",555,"E","5th","ST","","925",1,1,1,1,"1",1,2004,1088,"366.73","399000","$359.38","391000","06-30-2015",98,98,12,0,"06","03","9",-8000,"medium"
"76",8569598,"Sold","DT",410,"E","5th","ST","","1",1,1,0,1,"1",1,1999,1333,"299.32","399000","$295.95","394500","06-19-2015",191,191,17,0,"06","12","1",-4500,"medium"
"77",1032982,"Sold","DT",1812,"","West","Ave","","106",2,2,0,1,"1",1,2007,1183,"350.8","415000","$333.90","395000","12-09-2015",62,62,9,0,"12","10","1",-20000,"medium"
"78",9546543,"Sold","DT",360,"","Nueces","ST","","1218",1,1,0,1,"1",0,2008,760,"528.88","401950","$522.30","396950","02-29-2016",3,187,8,184,"02","02","1",-5000,"small"
"79",2610311,"Sold","DT",360,"","Nueces","ST","","2503",1,1,0,1,"1",1,2008,728,"549.44","399990","$545.33","397000","05-29-2015",25,64,8,39,"05","05","2",-2990,"small"
"80",9994925,"Sold","DT",360,"","Nueces","ST","","2303",1,1,0,1,"1",1,2008,728,"563.05","409900","$545.33","397000","08-11-2015",45,45,8,0,"08","06","2",-12900,"small"
"81",2723188,"Sold","DT",360,"","Nueces","ST","","2403",1,1,0,1,"1",1,2008,728,"549.31","399900","$549.31","399900","11-20-2015",16,16,8,0,"11","11","2",0,"small"
"82",4441332,"Sold","DT",360,"","Nueces","ST","","4208",1,1,0,1,"1",0,2008,732,"559.43","409500","$551.91","404000","09-18-2015",51,51,8,0,"09","07","4",-5500,"small"
"83",8767364,"Sold","DT",360,"","Nueces","ST","","4206",1,1,0,1,"1",1,2008,748,"547.99","409900","$541.44","405000","04-27-2015",46,46,8,0,"04","03","4",-4900,"small"
"84",7498488,"Sold","DT",40,"N","Interstate 35","","","5B2",2,2,0,1,"1",2,1983,1459,"284.44","415000","$278.27","406000","12-18-2015",66,103,33,37,"12","10","5",-9000,"medium"
"85",8432463,"Sold","DT",360,"","Nueces","ST","","3908",1,1,0,1,"1",1,2008,732,"568.99","416500","$554.64","406000","03-01-2016",17,17,8,0,"03","02","3",-10500,"small"
"86",5576710,"Sold","DT",360,"","Nueces","","","1113",1,1,0,1,"1",0,2008,861,"475.03","409000","$475.03","409000","07-15-2015",0,0,8,0,"07","07","1",0,"small"
"87",5589312,"Sold","DT",54,"","Rainey","ST","","816",1,1,0,2,"1",1,2005,852,"481.22","410000","$480.46","409350","10-13-2015",16,16,11,0,"10","09","8",-650,"small"
"88",3231749,"Sold","DT",360,"","Nueces","ST","","4106",1,1,0,1,"1",1,2008,748,"554.14","414500","$548.13","410000","05-28-2015",136,136,8,0,"05","01","4",-4500,"small"
"89",3185586,"Sold","DT",1801,"","Lavaca","ST","","15M",1,2,0,1,"1",1,1964,1565,"268.37","420000","$262.94","411500","06-18-2015",224,224,52,0,"06","11","1",-8500,"medium"
"90",4098269,"Sold","DT",54,"","Rainey","ST","","1116",1,1,0,2,"1",1,2005,852,"487.09","415000","$485.33","413500","04-24-2015",9,9,11,0,"04","04","1",-1500,"small"
"91",7593975,"Sold","DT",410,"E","5th","ST","","307",1,1,0,1,"1",1,1999,1071,"396.83","425000","$387.49","415000","04-02-2015",36,36,17,0,"04","02","3",-10000,"medium"
"92",4757617,"Sold","DT",360,"","Nueces","ST","","2810",1,1,0,1,"1",1,2008,770,"551.95","425000","$538.96","415000","05-04-2015",32,32,8,0,"05","04","2",-10000,"small"
"93",7207223,"Sold","DT",360,"","Nueces","ST","","4108",1,1,0,1,"1",1,2008,732,"576.5","422000","$571.04","418000","06-19-2015",84,84,8,0,"06","03","4",-4000,"small"
"94",3544656,"Sold","DT",40,"N","Interstate 35","","","2D4",2,2,0,1,"1",2,1983,1357,"308.77","419000","$308.77","419000","08-31-2015",21,21,33,0,"08","08","2",0,"medium"
"95",7389056,"Sold","DT",710,"","Colorado","ST","","H2",1,1,0,1,"1",2,1940,1047,"405.92","425000","$401.15","420000","04-03-2015",6,6,76,0,"04","03","2",-5000,"medium"
"96",1670852,"Sold","DT",40,"N","Interstate 35","","","5B1",2,2,0,1,"1",2,1983,1288,"322.98","416000","$326.09","420000","04-30-2015",2,2,33,0,"04","04","5",4000,"medium"
"97",3108252,"Sold","DT",360,"","Nueces","ST","","2201",1,1,0,1,"1",1,2008,801,"555.56","445000","$530.59","425000","02-02-2016",73,73,8,0,"02","11","2",-20000,"small"
"98",5190614,"Sold","DT",710,"","Colorado","ST","","B3",1,1,0,1,"1",1,1940,1180,"368.64","435000","$362.29","427500","07-31-2015",53,53,76,0,"07","06","3",-7500,"medium"
"99",1842615,"Sold","DT",410,"E","5th","ST","","110",1,1,1,1,"2",1,1999,1356,"323.75","439000","$317.11","430000","04-10-2015",70,70,17,0,"04","01","1",-9000,"medium"
"100",5991153,"Sold","DT",710,"","Colorado","ST","","B4",1,1,0,1,"1",1,1940,1180,"364.41","430000","$364.41","430000","04-28-2015",4,4,76,0,"04","04","4",0,"medium"
"101",7219685,"Sold","DT",800,"","Brazos","ST","","901",2,2,0,1,"1",1,1949,1170,"367.52","430000","$367.52","430000","08-12-2015",3,3,67,0,"08","08","9",0,"medium"
"102",8639582,"Sold","DT",360,"","Nueces","ST","","2910",1,1,0,1,"1",1,2008,770,"581.17","447500","$558.44","430000","02-29-2016",14,14,8,0,"02","02","2",-17500,"small"
"103",2868680,"Sold","DT",54,"","Rainey","ST","","PH14",1,1,0,2,"1",1,2005,875,"525.6","459900","$493.03","431400","07-15-2015",9,9,11,0,"07","07","1",-28500,"small"
"104",8852580,"Sold","DT",360,"","Nueces","ST","","2801",1,1,0,1,"1",1,2008,801,"548.06","439000","$544.32","436000","06-15-2015",22,22,8,0,"06","05","2",-3000,"small"
"105",1600336,"Sold","DT",360,"","Nueces","ST","","2701",1,1,0,1,"1",1,2008,801,"555.56","445000","$545.57","437000","10-09-2015",11,11,8,0,"10","09","2",-8000,"small"
"106",7133801,"Sold","DT",1704,"","West","Ave","","101",2,2,1,1,"2",2,1986,1647,"267.15","440000","$265.94","438000","07-08-2015",5,5,30,0,"07","07","1",-2000,"medium"
"107",1870357,"Sold","DT",54,"","Rainey","ST","","1009",2,2,0,1,"1",2,2005,1164,"386.51","449900","$376.72","438500","03-09-2016",137,137,11,0,"03","10","1",-11400,"medium"
"108",5173252,"Sold","DT",1801,"","Lavaca","ST","","2G",3,2,0,1,"1",1,1964,1377,"326.43","449500","$319.54","440000","06-01-2015",77,265,52,188,"06","03","2",-9500,"medium"
"109",3312047,"Sold","DT",555,"E","5th","ST","","709",1,1,1,1,"1",2,2004,1026,"437.62","449000","$433.72","445000","06-30-2015",9,9,12,0,"06","06","7",-4000,"small"
"110",2434364,"Sold","DT",40,"N","Interstate 35","","","5A4",2,2,0,1,"1",2,1983,1234,"362.24","447000","$362.24","447000","04-30-2015",11,11,33,0,"04","04","5",0,"medium"
"111",8795421,"Sold","DT",360,"","Nueces","ST","","2701",1,1,0,1,"1",1,2008,801,"573.03","459000","$558.05","447000","02-04-2016",51,51,8,0,"02","12","2",-12000,"small"
"112",4611858,"Sold","DT",54,"","Rainey","ST","","918",2,2,0,1,"1",2,2005,1164,"420.1","489000","$386.60","450000","01-15-2016",41,91,11,50,"01","12","9",-39000,"medium"
"113",9476061,"Sold","DT",360,"","Nueces","ST","","2007",1,1,0,1,"1",1,2008,852,"539.85","459950","$534.04","455000","07-22-2015",5,5,8,0,"07","07","2",-4950,"small"
"114",4234633,"Sold","DT",360,"","Nueces","ST","","2107",1,1,0,1,"1",1,2008,852,"539.91","460000","$534.04","455000","08-28-2015",20,20,8,0,"08","08","2",-5000,"small"
"115",3865592,"Sold","DT",1812,"","West","Ave","","105",2,2,0,2,"1",2,2007,1448,"327.69","474500","$316.99","459000","07-30-2015",106,106,9,0,"07","04","1",-15500,"medium"
